category,Relevant by ASReview LAB,Random relevant
1768,278,248
1769,278,248
1770,278,248
1771,278,248
1772,278,248
1773,278,248
1774,278,248
1775,278,248
1776,278,249
1777,278,249
1778,278,249
1779,278,249
1780,278,249
1781,278,249
1782,278,249
1783,278,250
1784,278,250
1785,278,250
1786,278,250
1787,278,250
1788,278,250
1789,278,250
1790,278,251
1791,278,251
1792,278,251
1793,278,251
1794,278,251
1795,278,251
1796,278,251
1797,278,252
1798,278,252
1799,278,252
1800,278,252
1801,278,252
1802,278,252
1803,278,252
1804,278,253
1805,278,253
1806,278,253
1807,278,253
1808,278,253
1809,278,253
1810,278,253
1811,278,254
1812,278,254
1813,278,254
1814,278,254
1815,278,254
1816,278,254
1817,278,254
1818,278,255
1819,278,255
1820,278,255
1821,278,255
1822,278,255
1823,278,255
1824,278,255
1825,278,255
1826,278,256
1827,278,256
1828,278,256
1829,278,256
1830,278,256
1831,278,256
1832,278,256
1833,278,257
1834,278,257
1835,278,257
1836,278,257
1837,278,257
1838,278,257
1839,279,257
1840,279,258
1841,279,258
1842,279,258
1843,279,258
1844,279,258
1845,279,258
1846,279,258
1847,279,259
1848,279,259
1849,279,259
1850,279,259
1851,279,259
1852,279,259
1853,279,259
1854,279,260
1855,279,260
1856,279,260
1857,279,260
1858,279,260
1859,279,260
1860,279,260
1861,279,261
1862,279,261
1863,279,261
1864,279,261
1865,279,261
1866,279,261
1867,279,261
1868,279,262
1869,279,262
1870,279,262
1871,279,262
1872,279,262
1873,279,262
1874,279,262
1875,279,262
1876,279,263
1877,279,263
1878,279,263
1879,279,263
1880,279,263
1881,279,263
1882,279,263
1883,279,264
1884,279,264
1885,279,264
1886,279,264
1887,279,264
1888,279,264
1889,279,264
1890,279,265
1891,279,265
1892,279,265
1893,279,265
1894,279,265
1895,279,265
1896,279,265
1897,279,266
1898,279,266
1899,279,266
1900,279,266
1901,279,266
1902,279,266
1903,279,266
1904,279,267
1905,279,267
1906,279,267
1907,279,267
1908,279,267
1909,279,267
1910,279,267
1911,279,268
1912,279,268
1913,279,268
1914,279,268
1915,279,268
1916,279,268
1917,279,268
1918,279,269
1919,279,269
1920,279,269
1921,279,269
1922,279,269
1923,279,269
1924,279,269
1925,279,269
1926,279,270
1927,279,270
1928,279,270
1929,279,270
1930,279,270
1931,279,270
1932,279,270
1933,279,271
1934,279,271
1935,279,271
1936,279,271
1937,279,271
1938,279,271
1939,279,271
1940,279,272
1941,279,272
1942,279,272
1943,279,272
1944,279,272
1945,279,272
1946,279,272
1947,279,273
1948,279,273
1949,279,273
1950,279,273
1951,279,273
1952,279,273
1953,279,273
1954,279,274
1955,279,274
1956,279,274
1957,279,274
1958,279,274
1959,279,274
1960,279,274
1961,279,275
1962,279,275
1963,279,275
1964,279,275
1965,279,275
1966,279,275
1967,279,275
1968,279,276
1969,279,276
1970,279,276
1971,279,276
1972,279,276
1973,279,276
1974,279,276
1975,279,276
1976,279,277
1977,279,277
1978,279,277
1979,279,277
1980,279,277
1981,279,277
1982,279,277
1983,279,278
1984,279,278
1985,279,278
1986,279,278
1987,279,278
1988,279,278
1989,279,278
1990,279,279
1991,279,279
